"id","language","politics","domestic_politics","foreign_politics","resource_distribution","resource_distribution_by_whom1","resource_distribution_for_whom1","resource_distribution_for_whom_ethnic1","resource_distribution_for_whom_region1","resource_distribution_gender","climate_change","pro_us","pro_russia","pro_china","pro_un","pro_imf","pro_democracy","anti_western","national_unity","subgroup_unity","subgroup_unity_text","african_unity","political_opponents","religion","political_opponents_viol","national_unity_narrow","topic"
"704219465263770","French","politics","domestic politics","not foreign politics","not resource distribution","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","no mention of the US","no mention of the Russia","no mention of the China","no mention of the UN","no mention of the IMF","no mention of democracy","not anti-western","no mention of the nation or national unity","no mention of specific subgroup","not applicable","no mention of africa","no mention of political opponents","no mention of religion","no mention of violent group","NOT CODED","HEALTH;INTERNATIONAL AFFAIRS"
"1648568826101092","French","politics","domestic politics","not foreign politics","not resource distribution","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","no mention of the US","no mention of the Russia","no mention of the China","no mention of the UN","no mention of the IMF","no mention of democracy","not anti-western","national unity","no mention of specific subgroup","not applicable","no mention of africa","no mention of political opponents","no mention of religion","no mention of violent group","NOT CODED","EDUCATION;DEFENSE;IMMIGRATION"
"3044972315663803","French","politics","domestic politics","foreign politics","resource distribution","national government","country-wide","not applicable","not applicable","unclear","not applicable","no mention of the US","no mention of the Russia","no mention of the China","no mention of the UN","no mention of the IMF","no mention of democracy","not anti-western","no mention of the nation or national unity","no mention of specific subgroup","not applicable","no mention of africa","no mention of political opponents","no mention of religion","no mention of violent group","NOT CODED","SOCIAL WELFARE;INTERNATIONAL AFFAIRS"
"702009715509839","English","politics","domestic politics","not foreign politics","not resource distribution","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","no mention of the US","no mention of the Russia","no mention of the China","no mention of the UN","no mention of the IMF","no mention of democracy","not anti-western","no mention of the nation or national unity","no mention of specific subgroup","not applicable","no mention of africa","no mention of political opponents","no mention of religion","no mention of violent group","NOT CODED","HEALTH"
"1138520394376328","English","politics","domestic politics","foreign politics","not resource distribution","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","no mention of the US","no mention of the Russia","no mention of the China","no mention of the UN","no mention of the IMF","no mention of democracy","not anti-western","no mention of the nation or national unity","no mention of specific subgroup","not applicable","no mention of africa","no mention of political opponents","no mention of religion","no mention of violent group","NOT CODED","INTERNATIONAL AFFAIRS"
"1528819164966415","English","not political","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","unclear","unclear","not applicable","african unity","not applicable","no mention of religion","not applicable","NOT CODED","not applicable"
"895102642058971","English","politics","not domestic politics","foreign politics","not resource distribution","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","no mention of the US","no mention of the Russia","no mention of the China","no mention of the UN","no mention of the IMF","no mention of democracy","not anti-western","no mention of the nation or national unity","no mention of specific subgroup","not applicable","no mention of africa","no mention of political opponents","no mention of religion","no mention of violent group","NOT CODED","INTERNATIONAL AFFAIRS"
"616018317671065","French","politics","domestic politics","not foreign politics","not resource distribution","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","no mention of the US","no mention of the Russia","no mention of the China","no mention of the UN","no mention of the IMF","no mention of democracy","not anti-western","no mention of the nation or national unity","no mention of specific subgroup","not applicable","no mention of africa","no mention of political opponents","no mention of religion","no mention of violent group","NOT CODED","CIVIL RIGHTS;EDUCATION"
"785182711074024","Arabic","politics","domestic politics","foreign politics","not resource distribution","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","no mention of the US","no mention of the Russia","no mention of the China","positive towards the UN","no mention of the IMF","no mention of democracy","not anti-western","no mention of the nation or national unity","no mention of specific subgroup","not applicable","no mention of africa","no mention of political opponents","no mention of religion","no mention of violent group","NOT CODED","INTERNATIONAL AFFAIRS;CIVIL RIGHTS"
"2341143362970853","English","politics","domestic politics","not foreign politics","resource distribution","other","specific locality or group","not applicable","Borno State","resources for women","not applicable","no mention of the US","no mention of the Russia","no mention of the China","no mention of the UN","no mention of the IMF","no mention of democracy","not anti-western","no mention of the nation or national unity","no mention of specific subgroup","not applicable","no mention of africa","no mention of political opponents","no mention of religion","no mention of violent group","NOT CODED","DOMESTIC COMMERCE;SOCIAL WELFARE"
"1417383402696735","French","politics","domestic politics","not foreign politics","resource distribution","national government","specific locality or group","not applicable","Brazzaville","resources not specifically for women","not applicable","no mention of the US","no mention of the Russia","no mention of the China","no mention of the UN","no mention of the IMF","no mention of democracy","not anti-western","no mention of the nation or national unity","no mention of specific subgroup","not applicable","no mention of africa","no mention of political opponents","no mention of religion","no mention of violent group","NOT CODED","HEALTH"
"1118516416655556","English","politics","domestic politics","not foreign politics","not resource distribution","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","no mention of the US","no mention of the Russia","no mention of the China","no mention of the UN","no mention of the IMF","no mention of democracy","not anti-western","no mention of the nation or national unity","no mention of specific subgroup","not applicable","no mention of africa","no mention of political opponents","no mention of religion","no mention of violent group","NOT CODED","GOVERNMENT OPERATIONS"
"1915716399321185","English","politics","domestic politics","not foreign politics","not resource distribution","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","no mention of the US","no mention of the Russia","no mention of the China","no mention of the UN","no mention of the IMF","positive towards democracy","not anti-western","no mention of the nation or national unity","no mention of specific subgroup","not applicable","no mention of africa","mentions political opponents","no mention of religion","no mention of violent group","NOT CODED","CIVIL RIGHTS;LAW AND CRIME"
"837703658606186","Other(Malagasy)","politics","domestic politics","not foreign politics","not resource distribution","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","no mention of the US","no mention of the Russia","no mention of the China","no mention of the UN","no mention of the IMF","no mention of democracy","not anti-western","no mention of the nation or national unity","no mention of specific subgroup","not applicable","no mention of africa","no mention of political opponents","no mention of religion","no mention of violent group","NOT CODED","GOVERNMENT OPERATIONS"
"1494323992018494","Portuguese","politics","domestic politics","foreign politics","not resource distribution","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","no mention of the US","no mention of the Russia","no mention of the China","no mention of the UN","no mention of the IMF","no mention of democracy","not anti-western","no mention of the nation or national unity","no mention of specific subgroup","not applicable","no mention of africa","no mention of political opponents","no mention of religion","no mention of violent group","NOT CODED","INTERNATIONAL AFFAIRS"
"1289201679640635","English","not political","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","unclear","unclear","not applicable","unclear","not applicable","unclear","not applicable","NOT CODED","not applicable"
"1822292628661294","English","politics","domestic politics","not foreign politics","not resource distribution","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","no mention of the US","no mention of the Russia","no mention of the China","no mention of the UN","no mention of the IMF","no mention of democracy","not anti-western","national unity","no mention of specific subgroup","not applicable","no mention of africa","no mention of political opponents","no mention of religion","no mention of violent group","NOT CODED","GOVERNMENT OPERATIONS;SOCIAL WELFARE"
"3754033601569115","Other(Malagasy)","not political","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","unclear","unclear","not applicable","unclear","not applicable","unclear","not applicable","NOT CODED","not applicable"
"824334036700402","English","politics","domestic politics","not foreign politics","not resource distribution","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","no mention of the US","no mention of the Russia","no mention of the China","no mention of the UN","no mention of the IMF","no mention of democracy","not anti-western","no mention of the nation or national unity","no mention of specific subgroup","not applicable","no mention of africa","no mention of political opponents","no mention of religion","no mention of violent group","NOT CODED","GOVERNMENT OPERATIONS"
"1301023524653028","English","politics","domestic politics","not foreign politics","not resource distribution","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","no mention of the US","no mention of the Russia","no mention of the China","no mention of the UN","no mention of the IMF","no mention of democracy","not anti-western","no mention of the nation or national unity","no mention of specific subgroup","not applicable","no mention of africa","no mention of political opponents","no mention of religion","no mention of violent group","NOT CODED","GOVERNMENT OPERATIONS"
"3157903627699066","Portuguese","politics","domestic politics","not foreign politics","not resource distribution","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","no mention of the US","no mention of the Russia","no mention of the China","no mention of the UN","no mention of the IMF","no mention of democracy","not anti-western","national unity","no mention of specific subgroup","not applicable","no mention of africa","no mention of political opponents","no mention of religion","no mention of violent group","NOT CODED","GOVERNMENT OPERATIONS"
"781347914808401","French","politics","domestic politics","foreign politics","resource distribution","other state","country-wide","not applicable","not applicable","resources for women","not applicable","no mention of the US","no mention of the Russia","positive towards China","no mention of the UN","no mention of the IMF","no mention of democracy","not anti-western","no mention of the nation or national unity","no mention of specific subgroup","not applicable","no mention of africa","no mention of political opponents","no mention of religion","no mention of violent group","NOT CODED","AGRICULTURE;INTERNATIONAL AFFAIRS"
"808511095456136","French","politics","domestic politics","not foreign politics","not resource distribution","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","no mention of the US","no mention of the Russia","no mention of the China","no mention of the UN","no mention of the IMF","no mention of democracy","not anti-western","national unity","no mention of specific subgroup","not applicable","african unity","no mention of political opponents","no mention of religion","no mention of violent group","NOT CODED","GOVERNMENT OPERATIONS"
"1516456403125176","Other(Amharic)","politics","domestic politics","not foreign politics","resource distribution","national government","specific locality or group","not applicable","Gondar","resources not specifically for women","not applicable","no mention of the US","no mention of the Russia","no mention of the China","no mention of the UN","no mention of the IMF","no mention of democracy","not anti-western","no mention of the nation or national unity","subgroup unity","unclear","no mention of africa","no mention of political opponents","no mention of religion","no mention of violent group","NOT CODED",""
"1876281929986594","Portuguese","politics","domestic politics","not foreign politics","not resource distribution","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","no mention of the US","no mention of the Russia","no mention of the China","no mention of the UN","no mention of the IMF","no mention of democracy","not anti-western","no mention of the nation or national unity","no mention of specific subgroup","not applicable","no mention of africa","no mention of political opponents","no mention of religion","no mention of violent group","NOT CODED","HEALTH"
"645277955327475","Other(Sesotho)","not political","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","unclear","unclear","not applicable","unclear","not applicable","unclear","not applicable","NOT CODED","not applicable"
"2668531080175943","French","politics","domestic politics","not foreign politics","resource distribution","other","country-wide","not applicable","not applicable","resources for women","not applicable","no mention of the US","no mention of the Russia","no mention of the China","no mention of the UN","no mention of the IMF","no mention of democracy","not anti-western","no mention of the nation or national unity","no mention of specific subgroup","not applicable","no mention of africa","no mention of political opponents","no mention of religion","no mention of violent group","NOT CODED","CIVIL RIGHTS"
"552136771006334","French","politics","domestic politics","foreign politics","not resource distribution","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","no mention of the US","positive towards Russia","no mention of the China","no mention of the UN","no mention of the IMF","no mention of democracy","not anti-western","no mention of the nation or national unity","no mention of specific subgroup","not applicable","no mention of africa","no mention of political opponents","no mention of religion","no mention of violent group","NOT CODED","INTERNATIONAL AFFAIRS"
"743497688644506","French","politics","domestic politics","foreign politics","not resource distribution","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","no mention of the US","no mention of the Russia","no mention of the China","positive towards the UN","no mention of the IMF","no mention of democracy","not anti-western","no mention of the nation or national unity","no mention of specific subgroup","not applicable","no mention of africa","no mention of political opponents","no mention of religion","no mention of violent group","NOT CODED","INTERNATIONAL AFFAIRS"
"2256295844840977","French","not political","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","unclear","unclear","not applicable","unclear","not applicable","unclear","not applicable","NOT CODED","not applicable"
"1206764124551952","Arabic","politics","domestic politics","foreign politics","resource distribution","international organisations","country-wide","not applicable","not applicable","resources for women","not applicable","no mention of the US","no mention of the Russia","no mention of the China","no mention of the UN","no mention of the IMF","no mention of democracy","not anti-western","no mention of the nation or national unity","no mention of specific subgroup","not applicable","no mention of africa","no mention of political opponents","no mention of religion","no mention of violent group","NOT CODED","INTERNATIONAL AFFAIRS;CIVIL RIGHTS"
"2012199292651049","French","politics","domestic politics","not foreign politics","not resource distribution","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","no mention of the US","no mention of the Russia","no mention of the China","no mention of the UN","no mention of the IMF","no mention of democracy","not anti-western","no mention of the nation or national unity","no mention of specific subgroup","not applicable","no mention of africa","no mention of political opponents","no mention of religion","no mention of violent group","NOT CODED","GOVERNMENT OPERATIONS"
"1316847653410671","English","politics","domestic politics","not foreign politics","not resource distribution","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","no mention of the US","no mention of the Russia","no mention of the China","no mention of the UN","no mention of the IMF","positive towards democracy","not anti-western","national unity","no mention of specific subgroup","not applicable","no mention of africa","no mention of political opponents","no mention of religion","no mention of violent group","NOT CODED","INTERNATIONAL AFFAIRS;GOVERNMENT OPERATIONS"
"1352443199779798","English","politics","domestic politics","not foreign politics","resource distribution","national government","specific locality or group","not applicable","Osun","resources not specifically for women","not applicable","no mention of the US","no mention of the Russia","no mention of the China","no mention of the UN","no mention of the IMF","no mention of democracy","not anti-western","national unity","no mention of specific subgroup","not applicable","no mention of africa","no mention of political opponents","no mention of religion","no mention of violent group","NOT CODED","EDUCATION"
"809324898701572","English","politics","domestic politics","not foreign politics","not resource distribution","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","no mention of the US","no mention of the Russia","no mention of the China","no mention of the UN","no mention of the IMF","no mention of democracy","not anti-western","national unity","no mention of specific subgroup","not applicable","no mention of africa","no mention of political opponents","no mention of religion","no mention of violent group","NOT CODED","NO TOPIC"
"1726546428335195","Other(Amharic)","politics","domestic politics","foreign politics","not resource distribution","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","no mention of the US","no mention of the Russia","no mention of the China","no mention of the UN","no mention of the IMF","no mention of democracy","not anti-western","no mention of the nation or national unity","no mention of specific subgroup","not applicable","no mention of africa","no mention of political opponents","no mention of religion","no mention of violent group","NOT CODED","EDUCATION;INTERNATIONAL AFFAIRS"
"1.12558E+15","Portuguese","politics","domestic politics","not foreign politics","resource distribution","national government","specific locality or group","not applicable","Cacuaco, Luanda","resources not specifically for women","not applicable","no mention of the US","no mention of the Russia","no mention of the China","no mention of the UN","no mention of the IMF","no mention of democracy","not anti-western","no mention of the nation or national unity","no mention of specific subgroup","not applicable","no mention of africa","no mention of political opponents","no mention of religion","no mention of violent group","NOT CODED","HEALTH;ENVIRONMENT"
"796790359426278","Other(Malagasy)","politics","domestic politics","foreign politics","resource distribution","international organisations","country-wide","not applicable","not applicable","resources not specifically for women","not applicable","no mention of the US","no mention of the Russia","no mention of the China","neutral towards the UN","no mention of the IMF","no mention of democracy","not anti-western","no mention of the nation or national unity","no mention of specific subgroup","not applicable","no mention of africa","no mention of political opponents","no mention of religion","no mention of violent group","NOT CODED","AGRICULTURE;INTERNATIONAL AFFAIRS"
"1512517949951107","English","politics","domestic politics","foreign politics","not resource distribution","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","no mention of the US","no mention of the Russia","no mention of the China","no mention of the UN","no mention of the IMF","no mention of democracy","not anti-western","no mention of the nation or national unity","no mention of specific subgroup","not applicable","no mention of africa","no mention of political opponents","no mention of religion","no mention of violent group","NOT CODED","INTERNATIONAL AFFAIRS"
"2341977806165853","English","politics","domestic politics","foreign politics","resource distribution","other state","country-wide","not applicable","not applicable","resources not specifically for women","not applicable","neutral towards the US","no mention of the Russia","no mention of the China","no mention of the UN","no mention of the IMF","positive towards democracy","not anti-western","no mention of the nation or national unity","no mention of specific subgroup","not applicable","no mention of africa","no mention of political opponents","no mention of religion","no mention of violent group","NOT CODED","HOUSING;INTERNATIONAL AFFAIRS"
"1199365528475143","English","politics","domestic politics","not foreign politics","not resource distribution","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","no mention of the US","no mention of the Russia","no mention of the China","no mention of the UN","no mention of the IMF","no mention of democracy","not anti-western","national unity","no mention of specific subgroup","not applicable","no mention of africa","no mention of political opponents","no mention of religion","no mention of violent group","NOT CODED","SOCIAL WELFARE"
"833664656007828","Arabic","politics","domestic politics","foreign politics","not resource distribution","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","no mention of the US","no mention of the Russia","no mention of the China","no mention of the UN","no mention of the IMF","no mention of democracy","not anti-western","no mention of the nation or national unity","no mention of specific subgroup","not applicable","no mention of africa","no mention of political opponents","no mention of religion","no mention of violent group","NOT CODED","INTERNATIONAL AFFAIRS"
"797025626069453","Arabic","politics","domestic politics","not foreign politics","not resource distribution","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","no mention of the US","no mention of the Russia","no mention of the China","no mention of the UN","no mention of the IMF","no mention of democracy","not anti-western","national unity","no mention of specific subgroup","not applicable","no mention of africa","no mention of political opponents","no mention of religion","no mention of violent group","NOT CODED","GOVERNMENT OPERATIONS;DEFENSE"
"2285211298507301","Arabic","politics","domestic politics","foreign politics","not resource distribution","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","positive towards the US","no mention of the Russia","no mention of the China","no mention of the UN","no mention of the IMF","no mention of democracy","not anti-western","no mention of the nation or national unity","no mention of specific subgroup","not applicable","no mention of africa","no mention of political opponents","no mention of religion","no mention of violent group","NOT CODED","INTERNATIONAL AFFAIRS"
"1987929658652588","English;Arabic","politics","domestic politics","foreign politics","not resource distribution","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","no mention of the US","no mention of the Russia","no mention of the China","no mention of the UN","no mention of the IMF","no mention of democracy","not anti-western","no mention of the nation or national unity","no mention of specific subgroup","not applicable","no mention of africa","no mention of political opponents","no mention of religion","no mention of violent group","NOT CODED","INTERNATIONAL AFFAIRS"
"581204078302522","English;Arabic","politics","domestic politics","foreign politics","not resource distribution","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","no mention of the US","no mention of the Russia","no mention of the China","no mention of the UN","no mention of the IMF","no mention of democracy","not anti-western","no mention of the nation or national unity","no mention of specific subgroup","not applicable","no mention of africa","no mention of political opponents","no mention of religion","no mention of violent group","NOT CODED","INTERNATIONAL AFFAIRS"
"1135440521307186","English;Arabic","politics","domestic politics","foreign politics","not resource distribution","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","no mention of the US","no mention of the Russia","no mention of the China","no mention of the UN","no mention of the IMF","no mention of democracy","not anti-western","no mention of the nation or national unity","no mention of specific subgroup","not applicable","no mention of africa","no mention of political opponents","no mention of religion","no mention of violent group","NOT CODED","INTERNATIONAL AFFAIRS"
"1305865060541321","French","politics","not domestic politics","foreign politics","not resource distribution","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","no mention of the US","no mention of the Russia","no mention of the China","no mention of the UN","no mention of the IMF","no mention of democracy","not anti-western","no mention of the nation or national unity","no mention of specific subgroup","not applicable","no mention of africa","no mention of political opponents","no mention of religion","no mention of violent group","NOT CODED","INTERNATIONAL AFFAIRS"
"2256477311532904","French","politics","domestic politics","not foreign politics","not resource distribution","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","no mention of the US","no mention of the Russia","no mention of the China","no mention of the UN","no mention of the IMF","no mention of democracy","not anti-western","no mention of the nation or national unity","no mention of specific subgroup","not applicable","no mention of africa","no mention of political opponents","no mention of religion","no mention of violent group","NOT CODED","GOVERNMENT OPERATIONS"
"1329301938943054","French","politics","domestic politics","not foreign politics","not resource distribution","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","no mention of the US","no mention of the Russia","no mention of the China","no mention of the UN","no mention of the IMF","no mention of democracy","not anti-western","no mention of the nation or national unity","no mention of specific subgroup","not applicable","no mention of africa","no mention of political opponents","no mention of religion","no mention of violent group","NOT CODED","GOVERNMENT OPERATIONS"
"1763383214304205","Arabic","politics","domestic politics","foreign politics","resource distribution","national government","country-wide","not applicable","not applicable","resources for women","not applicable","no mention of the US","no mention of the Russia","no mention of the China","no mention of the UN","no mention of the IMF","no mention of democracy","not anti-western","national unity","subgroup unity","Muslims","no mention of africa","no mention of political opponents","religious","no mention of violent group","NOT CODED","CIVIL RIGHTS;INTERNATIONAL AFFAIRS;LAW AND CRIME"
"912501944348217","English","politics","domestic politics","foreign politics","not resource distribution","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","no mention of the US","no mention of the Russia","no mention of the China","neutral towards the UN","no mention of the IMF","no mention of democracy","not anti-western","no mention of the nation or national unity","no mention of specific subgroup","not applicable","no mention of africa","no mention of political opponents","no mention of religion","no mention of violent group","NOT CODED","LAW AND CRIME"
"796575869970919","Portuguese","politics","domestic politics","foreign politics","resource distribution","national government;international organisations","specific locality or group","not applicable","Huíla; Benguela; Cabinda; Huambo; Cuanza Notre; Bengo; Melange; Lunda Sul; Kifangondo","resources not specifically for women","not applicable","no mention of the US","no mention of the Russia","no mention of the China","no mention of the UN","no mention of the IMF","no mention of democracy","not anti-western","national unity","no mention of specific subgroup","not applicable","no mention of africa","no mention of political opponents","no mention of religion","no mention of violent group","NOT CODED","HEALTH;INTERNATIONAL AFFAIRS;EDUCATION"
"1566497484319645","Other(Malagasy)","politics","domestic politics","not foreign politics","resource distribution","national government","specific locality or group","not applicable","Antsiranana I; Soafeno; DIana Region","resources not specifically for women","not applicable","no mention of the US","no mention of the Russia","no mention of the China","no mention of the UN","no mention of the IMF","no mention of democracy","not anti-western","national unity","subgroup unity","Antsiranana","no mention of africa","no mention of political opponents","no mention of religion","no mention of violent group","NOT CODED","GOVERNMENT OPERATIONS;SOCIAL WELFARE"
